Time,Minutes,source,SRTT_cumulative
2025-05-17 16:59:15,0.0,BASELINE,555.0
2025-05-17 16:59:30,0.25,BASELINE,571.0
2025-05-17 16:59:45,0.5,BASELINE,518.0
2025-05-17 17:00:00,0.75,BASELINE,654.5667417582418
2025-05-17 17:00:15,1.0,BASELINE,711.7022298534798
2025-05-17 17:00:30,1.25,BASELINE,800.9604322344323
2025-05-17 17:00:45,1.5,BASELINE,755.6013012820514
2025-05-17 17:01:00,1.75,BASELINE,447.0
2025-05-17 17:01:15,2.0,BASELINE,1479.5
2025-05-17 17:01:30,2.25,BASELINE,5143.0
2025-05-17 17:01:45,2.5,BASELINE,5097.0
2025-05-17 17:02:00,2.75,BASELINE,5077.0
2025-05-17 17:02:15,3.0,BASELINE,5404.670288554311
2025-05-17 17:02:30,3.25,BASELINE,5893.9792989418
2025-05-17 17:02:45,3.5,BASELINE,8039.25
2025-05-17 17:03:00,3.75,BASELINE,8024.0
2025-05-17 17:03:15,4.0,BASELINE,9485.0
2025-05-17 17:03:30,4.25,BASELINE,8331.0
2025-05-17 17:03:45,4.5,BASELINE,8307.0
2025-05-17 17:04:00,4.75,BASELINE,7363.422523809525
2025-05-17 17:04:15,5.0,BASELINE,7489.834142857141
2025-05-17 17:04:30,5.25,BASELINE,7028.942333333334
2025-05-17 17:04:45,5.5,BASELINE,6701.175190476193
2025-05-17 17:05:00,5.75,BASELINE,6557.175686507939
2025-05-17 17:05:15,6.0,BASELINE,6562.190519841271
2025-05-17 17:05:30,6.25,BASELINE,6447.502912698414
2025-05-17 17:05:45,6.5,BASELINE,6404.3099126984125
2025-05-17 17:06:00,6.75,BASELINE,6396.432888888889
2025-05-17 17:06:15,7.0,BASELINE,6538.678436507937
2025-05-17 17:06:30,7.25,BASELINE,7091.612579365081
2025-05-17 17:06:45,7.5,BASELINE,7249.291452380954
2025-05-17 17:07:00,7.75,BASELINE,7747.8974761904765
2025-05-17 17:07:15,8.0,BASELINE,7666.450904761906
2025-05-17 17:07:30,8.25,BASELINE,7672.326738095238
2025-05-17 17:07:45,8.5,BASELINE,7695.963904761906
2025-05-17 17:08:00,8.75,BASELINE,7791.737047619049
2025-05-17 17:08:15,9.0,BASELINE,7962.629214285714
2025-05-17 17:08:30,9.25,BASELINE,8179.570166666666
2025-05-17 17:08:45,9.5,BASELINE,8197.457523809524
2025-05-17 17:09:00,9.75,BASELINE,8561.258547619045
2025-05-17 17:09:15,10.0,BASELINE,8497.454214285712
2025-05-17 17:09:30,10.25,BASELINE,8638.52638095238
2025-05-17 17:09:45,10.5,BASELINE,8653.684714285713
2025-05-17 17:10:00,10.75,BASELINE,8802.25
2025-05-17 17:10:15,11.0,BASELINE,7437.0
2025-05-17 17:10:30,11.25,BASELINE,6695.0
2025-05-17 17:10:45,11.5,BASELINE,6689.0
2025-05-17 17:11:00,11.75,BASELINE,6813.493222222223
2025-05-17 17:11:15,12.0,BASELINE,6709.136055555556
2025-05-17 17:11:30,12.25,BASELINE,5846.5
2025-05-17 17:11:45,12.5,BASELINE,5662.5
2025-05-17 17:12:00,12.75,BASELINE,5461.0
2025-05-17 17:12:15,13.0,BASELINE,4233.0
2025-05-17 17:12:30,13.25,BASELINE,4236.0
2025-05-17 17:12:45,13.5,BASELINE,4228.0
2025-05-17 17:13:00,13.75,BASELINE,4429.553367956405
2025-05-17 17:13:15,14.0,BASELINE,4383.694803542203
2025-05-17 17:13:30,14.25,BASELINE,4418.362861483893
2025-05-17 17:13:45,14.5,BASELINE,4398.754241103831
2025-05-17 17:14:00,14.75,BASELINE,4431.254227868992
2025-05-17 17:14:15,15.0,BASELINE,4533.385347299863
2025-05-17 17:14:30,15.25,BASELINE,4812.527947050577
2025-05-17 17:14:45,15.5,BASELINE,4858.638642976188
2025-05-17 17:15:00,15.75,BASELINE,4877.971199471394
2025-05-17 17:15:15,16.0,BASELINE,4835.165618177619
2025-05-17 17:15:30,16.25,BASELINE,4751.086710256819
2025-05-17 17:15:45,16.5,BASELINE,4609.079825115095
2025-05-17 17:16:00,16.75,BASELINE,4664.992069641279
