"Time","{__name__=""gala_gopher_tcp_link_retran_packets"", client_ip=""127.0.0.1"", comm=""java"", container_id=""f5c01d169474"", container_image=""petclinic-api-gateway-chaos:latest"", container_name=""/api-gateway"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", protocol=""10"", role=""server"", scenario=""jvmThreadExhaustion"", server_ip=""127.0.0.1"", server_port=""37017"", tgid=""3473597""}"
2025-07-10 22:22:30,0
2025-07-10 22:22:45,0
2025-07-10 22:23:00,0
2025-07-10 22:23:15,0
2025-07-10 22:23:30,0
2025-07-10 22:23:45,0
2025-07-10 22:24:00,0
2025-07-10 22:24:15,0
2025-07-10 22:24:30,0
2025-07-10 22:24:45,0
2025-07-10 22:25:00,0
2025-07-10 22:25:15,0
2025-07-10 22:25:30,0
2025-07-10 22:25:45,0
2025-07-10 22:26:00,0
2025-07-10 22:26:15,0
2025-07-10 22:26:30,0
2025-07-10 22:26:45,0
2025-07-10 22:27:00,0
2025-07-10 22:27:15,0
2025-07-10 23:13:00,0
2025-07-10 23:13:15,0
2025-07-10 23:13:30,0
2025-07-10 23:13:45,0
2025-07-10 23:14:00,0
2025-07-10 23:14:15,0
2025-07-10 23:14:30,0
2025-07-10 23:14:45,0
2025-07-10 23:15:00,0
2025-07-10 23:15:15,0
2025-07-10 23:15:30,0
2025-07-10 23:15:45,0
2025-07-10 23:16:00,0
2025-07-10 23:16:15,0
2025-07-10 23:16:30,0
2025-07-10 23:16:45,0
2025-07-10 23:17:00,0
2025-07-10 23:17:15,0
2025-07-10 23:17:30,0
2025-07-10 23:17:45,0
