minutes,cpu_iowait_cpu 0,cpu_iowait_cpu 1,cpu_iowait_cpu 2,cpu_iowait_cpu 3,cpu_iowait_cpu 4,cpu_iowait_cpu 5,cpu_iowait_cpu 6,cpu_iowait_cpu 7,cpu_iowait_cpu 8,cpu_iowait_cpu 9,cpu_iowait_source,cpu_irq_cpu 0,cpu_irq_cpu 1,cpu_irq_cpu 2,cpu_irq_cpu 3,cpu_irq_cpu 4,cpu_irq_cpu 5,cpu_irq_cpu 6,cpu_irq_cpu 7,cpu_irq_cpu 8,cpu_irq_cpu 9,cpu_irq_source,cpu_system_cpu 0,cpu_system_cpu 1,cpu_system_cpu 2,cpu_system_cpu 3,cpu_system_cpu 4,cpu_system_cpu 5,cpu_system_cpu 6,cpu_system_cpu 7,cpu_system_cpu 8,cpu_system_cpu 9,cpu_system_source,cpu_user_cpu 0,cpu_user_cpu 1,cpu_user_cpu 2,cpu_user_cpu 3,cpu_user_cpu 4,cpu_user_cpu 5,cpu_user_cpu 6,cpu_user_cpu 7,cpu_user_cpu 8,cpu_user_cpu 9,cpu_user_source,cpu_utilization_cpu 0,cpu_utilization_cpu 1,cpu_utilization_cpu 2,cpu_utilization_cpu 3,cpu_utilization_cpu 4,cpu_utilization_cpu 5,cpu_utilization_cpu 6,cpu_utilization_cpu 7,cpu_utilization_cpu 8,cpu_utilization_cpu 9,cpu_utilization_source
2025-05-17 17:00:00,0,0,10,0,30,10,30,20,0,0,CACHE_FILLING,490,630,580,435,410,595,420,590,0,0,CACHE_FILLING,652,700,692,1015,1037,670,1007,617,0,0,CACHE_FILLING,4075,4370,4540,7380,7600,4445,7405,4295,0,0,CACHE_FILLING,34.215,36.66,35.325,35.825,35.68,34.925000000000004,35.184999999999995,33.849999999999994,0,0,CACHE_FILLING
2025-05-17 17:00:15,0,0,10,0,30,10,30,20,0,0,CACHE_FILLING,490,630,580,435,410,595,420,590,0,0,CACHE_FILLING,652,700,692,1015,1037,670,1007,617,0,0,CACHE_FILLING,4075,4370,4540,7380,7600,4445,7405,4295,0,0,CACHE_FILLING,34.215,36.66,35.325,35.825,35.68,34.925000000000004,35.184999999999995,33.849999999999994,0,0,CACHE_FILLING
2025-05-17 17:00:30,160,80,650,490,310,530,540,470,0,0,CACHE_FILLING,755,1185,900,755,735,880,700,900,0,0,CACHE_FILLING,750,820,820,1410,1400,780,1300,730,0,0,CACHE_FILLING,8372,8380,8682,14490,14567,8705,14917,8747,0,0,CACHE_FILLING,70.44999999999999,72.3,71.95,72.875,73.0,76.4,73.8,70.225,0,0,CACHE_FILLING
2025-05-17 17:00:45,160,72,668,433,306,481,464,425,0,0,CACHE_FILLING,755,1185,900,755,735,902,700,900,0,0,CACHE_FILLING,750,820,820,1410,1400,780,1300,730,0,0,CACHE_FILLING,8495,8395,8815,14555,14710,8825,14900,8805,0,0,CACHE_FILLING,70.44999999999999,70.94999999999999,71.95,73.44999999999999,73.7,76.4,73.9,70.5,0,0,CACHE_FILLING
2025-05-17 17:01:00,164,77,703,466,296,497,499,432,0,0,CACHE_FILLING,755,1185,900,755,735,925,700,900,0,0,CACHE_FILLING,750,820,820,1410,1400,780,1300,730,0,0,CACHE_FILLING,8495,8395,8815,14555,14710,8825,14900,8805,0,0,CACHE_FILLING,70.44999999999999,70.94999999999999,71.95,73.44999999999999,73.7,76.4,73.9,70.5,0,0,CACHE_FILLING
2025-05-17 17:01:15,177,79,407,346,236,390,357,253,0,0,CACHE_FILLING,620,1260,730,720,730,700,630,710,0,0,CACHE_FILLING,893,938,942,1503,1565,909,1559,825,0,0,CACHE_FILLING,8495,8395,8815,14555,14710,8825,14900,8805,0,0,CACHE_FILLING,70.44999999999999,70.94999999999999,71.95,73.44999999999999,73.7,70.90377619047621,73.9,70.5,0,0,CACHE_FILLING
2025-05-17 17:01:30,177,79,380,352,225,387,345,247,0,0,CACHE_FILLING,910,1080,1020,800,790,910,770,1180,0,0,CACHE_FILLING,893,939,942,1503,1564,909,1565,824,0,0,CACHE_FILLING,8710,8900,9060,15120,14670,9370,15270,9280,0,0,CACHE_FILLING,73.0,72.9,70.42500000000001,72.15,71.1,76.5,72.45,69.85,0,0,CACHE_FILLING
2025-05-17 17:01:45,365,53,135,282,203,129,288,57,0,0,CACHE_FILLING,910,1080,1020,800,790,910,770,1180,0,0,CACHE_FILLING,936,987,952,1537,1613,919,1593,879,0,0,CACHE_FILLING,8710,8900,9060,15120,14670,9370,15270,9280,0,0,CACHE_FILLING,73.0,72.9,70.75,72.15,71.1,76.5,72.45,69.85,0,0,CACHE_FILLING
2025-05-17 17:02:00,363,52,101,251,196,110,263,57,0,0,CACHE_FILLING,891,1106,1051,782,764,935,748,1160,0,0,CACHE_FILLING,962,1018,984,1558,1686,931,1606,899,0,0,CACHE_FILLING,8710,8900,9060,15120,14670,9370,15270,9280,0,0,CACHE_FILLING,73.0,72.9,70.75,72.15,71.1,76.5,72.45,69.85,0,0,CACHE_FILLING
2025-05-17 17:02:15,272,56,74,209,161,106,192,100,0,0,CACHE_FILLING,880,1095,1126,784,760,968,716,1074,0,0,CACHE_FILLING,1025,1063,1022,1633,1700,1005,1626,920,0,0,CACHE_FILLING,7875,8329,8408,13846,14147,8330,14070,8447,0,0,CACHE_FILLING,64.0950000000001,64.95772225829728,70.75,72.15,71.1,76.5,72.45,69.85,0,0,CACHE_FILLING
